C100042,CC0603KRX7R9BB103,YAGEO,,0603,50V 10nF X7R 10% 0603,100
C14665,CC0603JRNPO9BN101,YAGEO,Stock,0603,50V 100pF NP0 5% 0603,100
C105621,CC0603JRNPO9BN200,YAGEO,Stock,0603,50V 20pF NP0 5% 0603,100
C342900,CGA3E2X7R1H102KT0Y0N,TDK,Stock,0603,50V 1nF X7R 10% 0603,100
C1853148,CC0603JPNPO9BN331,YAGEO,Stock,0603,50V 330pF NP0 5% 0603,50
C326840,CC0603FRNPO9BN220,YAGEO,Stock,0603,50V 22pF NP0 1% 0603,50
C105174,UMK107AB7105KA-T,Taiyo Yuden,Stock,0603,50V 1uF X7R 10% 0603,50
C29936,CL10B105KA8NNNC,Samsung Electro-Mechanics,Stock,0603,25V 1uF X7R 10% 0603,150
C519561,CC0603FRNPO9BN271,YAGEO,Stock,0603,50V 270pF NP0 1% 0603,50
C57895,CL10A225KA8NNNC,Samsung Electro-Mechanics,Stock,0603,25V 2.2uF X5R 10% 0603,50
C125847,CC0805KKX7R9BB225,YAGEO,Stock,0805,50V 2.2uF X7R 10% 0805,20
C76971,GRM1555C1H471JA01D,muRata,Norns,0402,50V 470pF C0G 5% 0402,100
C77034,GRM1885C1H272JA01D,muRata,Norns,0603,50V 2.7nF C0G 5% 0603,50
C694508,CGA4F2C0G2A222JT0Y0N,TDK,Norns,0805,100V 2.2nF C0G 5% 0805,30
C107001,CC0402JRNPO9BN221,YAGEO,Norns,0402,50V 220pF NP0 5% 0402,100
C519500,CC0603FRNPO9BN221,YAGEO,Norns,0603,50V 220pF NP0 1% 0603,50
C16194987,CL21B335KAFNFNE,Samsung Electro-Mechanics,Norns,0805,25V 3.3uF X7R 10% 0805,20
C403725,GRM31CR61E476ME44L,muRata,Norns,1206,25V 47uF X5R 20% 1206,10
C115060,CC0603JRX7R9BB472,YAGEO,,0603,50V 4.7nF X7R 5% 0603,100
C519554,CC0603JRX7R9BB473,YAGEO,,0603,50V 47nF X7R 5% 0603,100
C277528,CC0603JRX7R9BB223,YAGEO,,0603,50V 22nF X7R 5% 0603,100
C84416,GRM21BR61E106KA73L,muRata,,0805,25V 10uF X5R 10% 0805,50
C282071,CC0603CRNPO9BN4R7,YAGEO,uJove,0603,50V 4.7pF NP0 5% 0603,100
C513648,CC0603FRNPO9BN101,YAGEO,,0603,50V 100pF NP0 1% 0603,50
C519500,CC0603FRNPO9BN221,YAGEO,,0603,50V 220pF NP0 1% 0603,50
C107048,CC0603JRNPO9BN332,YAGEO,,0603,50V 3.3nF NP0 5% 0603,50
C389113,CC0603JRNPO9BN103,YAGEO,,0603,50V 10nF NP0 5% 0603,50
C513577,CC0603KRX7R9BB474,YAGEO,,0603,50V 470nF X7R 10% 0603,50
C106843,CC0805KKX7R9BB474,YAGEO,,0805,50V 470nF X7R 10% 0805,50
C106211,CC0603JRNPO9BN471,YAGEO,,0603,50V 470pF NP0 5% 0603,100
C519564,CC0603FRNPO9BN471,YAGEO,,0603,50V 470pF NP0 1% 0603,50
C91183,CC0603JRX7R9BB104,YAGEO,,0603,50V 100nF X7R 5% 0603,100
C107054,CC0603JRNPO9BN561,YAGEO,,0603,50V 560pF NP0 5% 0603,100
C519449,CC0603GRNPO9BN101,YAGEO,,0603,50V 100pF NP0 2% 0603,100
C519486,CC0603FRNPO9BN470,YAGEO,,0603,50V 47pF NP0 1% 0603,100
C519481,CC0603GRNPO9BN102,YAGEO,,0603,50V 1nF NP0 2% 0603,100
C2443242,0603N101F101CT,Walsin,,0603,100V 100pF NP0 1% 0603,50
C309468,CC0603FRNPO9BN102,YAGEO,,0603,50V 1nF NP0 1% 0603,100
C519562,CC0603FRNPO9BN331,YAGEO,,0603,50V 330pF NP0 1% 0603,50
C327088,CC0603JRNPO0BN331,YAGEO,,0603,100V 330pF NP0 5% 0603,100
C2981728,GRM31C5C1H104FA01L,muRata,,1206,50V 100nF C0G 1% 1206,4
C519565,CC0603FRNPO9BN561,YAGEO,,0603,50V 560pF NP0 1% 0603,50
